Medicine,Vitamin,Uses,Warnings,Dosage,What to avoid,Side effects,Interactions
1-day,True,1-Day may also be used for other purposes not listed in this medication guide.,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.",Store at room temperature away from moisture and heat. Do not warm the medicine applicator before using 1-Day.,"Do not use a tampon, vaginal douche, spermicide, or other vaginal products while you are using 1-Day. Do not have vaginal intercourse during treatment.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"It is not likely that other drugs you take orally or inject will have an effect on tioconazole used in the vagina. But many drugs can interact with each other. Tell each of your healthcare providers about all medicines you use, including prescription and over-the-counter medicines, vitamins, and herbal products."
12-hour-nasal,True,12 Hour Nasal may also be used for purposes not listed in this medication guide.,"Stop using  12 Hour Nasal and call your doctor at once if you have ongoing or worsening symptoms, or if you have severe burning or stinging in your nose after using the nasal spray",Store at room temperature away from moisture and heat. Do not freeze. Keep the bottle tightly closed when not in use.,"Follow your doctor's instructions about any restrictions on food, beverages, or activity.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete and other drugs may interact with 12 Hour Nasal. Tell your doctor about all medications you use. This includes prescription, over-the-counter, vitamin, and herbal products. Do not start a new medication without telling your doctor."
3m-skin-and-nasal-antiseptic,True,3M Skin and Nasal Antiseptic may also be used for purposes not listed in this medication guide.,"Use exactly as directed on the label, or as prescribed by your doctor.",3M Skin and Nasal Antiseptic spray is flammable. Do not use near high heat or open flame. Do not smoke until the gel has completely dried on your skin.,"Do not get  3M Skin and Nasal Antiseptic in your eyes. If contact does occur, rinse with water. Seek medical advice if you have ongoing eye irritation.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Medicine used on the skin is not likely to be affected by other drugs you use. But many drugs can interact with each other. Tell each of your healthcare providers about all medicines you use, including prescription and over-the-counter medicines, vitamins, and herbal products."
4-way,True,4-Way may also be used for purposes not listed in this medication guide.,"Do not use  4-Way if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine.",Store at room temperature away from moisture and heat.,"Ask a doctor or pharmacist before using any other cold, cough, or allergy medicine. Many combination medicines contain pseudoephedrine. Taking certain products together can cause you to get too much of this medicine.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with phenylephrine nasal, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed in this medication guide."
5-htp,True,5-HTP may also be used for purposes not listed in this product guide.,"Follow all directions on the product label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.",Store at room temperature away from moisture and heat.,"Avoid using 5-HTP with other herbal/health supplements that can cause drowsiness. This includes California poppy, catnip, chamomile, gotu kola, Jamaican dogwood, kava, melatonin, St. John's wort, skullcap (or scullcap), valerian, yerba mansa, and others.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with 5-hydroxytryptophan, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed in this product guide."
5-hydroxytryptophan,True,5-hydroxytryptophan may also be used for purposes not listed in this product guide.,"Follow all directions on the product label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.",Store at room temperature away from moisture and heat.,"Avoid using 5-hydroxytryptophan with other herbal/health supplements that can cause drowsiness. This includes California poppy, catnip, chamomile, gotu kola, Jamaican dogwood, kava, melatonin, St. John's wort, skullcap (or scullcap), valerian, yerba mansa, and others.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with 5-hydroxytryptophan, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed in this product guide."
8-mop,True,8-Mop may also be used for purposes not listed in this medication guide.,Oxsoralen-Ultra and 8-Mop are not equivalent medicines and may not have the same dosing schedule.,"Store 8-Mop at room temperature away from moisture, heat, and light.",Avoid exposure to sunlight or artificial UV rays other than your scheduled light therapy treatments.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with methoxsalen, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed in this medication guide."
abilify,False,"Abilify is also used in children 6 years or older who have Tourette's disorder, or symptoms of autistic disorder (irritability, aggression, mood swings, temper tantrums, and self-injury).","Stop using Abilify and call your doctor at once if you have the following symptoms: fever with stiff muscles and rapid heart rate; uncontrolled muscle movements; symptoms that come on suddenly such as numbness or weakness, severe headache, and problems with vision, speech, or balance.","Store at room temperature away from moisture and heat. Abilify liquid may be used for up to 6 months after opening, but not after the expiration date on the medicine label.","Avoid becoming overheated or dehydrated. Drink plenty of fluids, especially in hot weather and during exercise. It is easier to become dangerously overheated and dehydrated while you are taking Abilify.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Many other drugs can interact with aripiprazole. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed here. Tell your doctor about all your medications and any you start or stop using during treatment with Abilify."
abilify-maintena-injection,True,Abilify Maintena may also be used for purposes not listed in this medication guide.,Abilify Maintena is not approved for use in older adults with dementia-related psychosis.,Your doctor will need to check your progress while you are using Abilify Maintena.,"Avoid becoming overheated or dehydrated. Drink plenty of fluids, especially in hot weather and during exercise. It is easier to become dangerously overheated and dehydrated while you are using Abilify Maintena.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Many drugs can affect Abilify Maintena. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed here. Tell your doctor about all your current medicines and any medicine you start or stop using."
acetaminophen,False,"Acetaminophen is typically used orally, but can be given intravenously.",Stop taking this medicine and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling.,Store at room temperature away from heat and moisture.,Avoid drinking alcohol. It may increase your risk of liver damage while taking acetaminophen.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Other drugs may interact with acetaminophen, including prescription and over-the-counter medicines, vitamins, and herbal products. Tell each of your health care providers about all medicines you use now and any medicine you start or stop using."
acetaminophen_hydrocodone,False,Acetaminophen and hydrocodone may also be used for purposes other than those listed in this medication guide.,Stop taking acetaminophen and hydrocodone and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling.,"Do not keep leftover opioid medication. Just one dose can cause death in someone using this medicine accidentally or improperly. Ask your pharmacist where to locate a drug take-back disposal program. If there is no take-back program, flush the unused medicine down the toilet.",Ask a doctor or pharmacist before using any other medicine that may contain acetaminophen (sometimes abbreviated as APAP). Taking certain medications together can lead to a fatal overdose.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with acetaminophen and hydrocodone, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed here."
actos,False,Actos is not for treating type 1 diabetes.,"Actos can cause or worsen congestive heart failure. Stop using this medicine and call your doctor at once if you have shortness of breath (even with mild exertion), swelling, or rapid weight gain.","-Patients without congestive heart failure:
Initial dose: 15 mg or 30 mg orally once a day
-Patients with congestive heart failure (New York Heart Association [NYHA] Class I or II):
Initial dose: 15 mg orally once a day

Maintenance dose: 15 mg to 45 mg orally once a day based on glycemic response as determined by HbA1c
Maximum dose: 45 mg orally once a day

Comments:
-This drug exerts its antihyperglycemic effect only in the presence of endogenous insulin and therefore is not expected to be effective in patients with type 1 diabetes mellitus or diabetic ketoacidosis.
-Patients concomitantly receiving an insulin secretagogue or insulin may need to reduce the dose of the insulin secretagogue or insulin if hypoglycemia occurs.

Use: As an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus in multiple clinical settings",Avoid drinking alcohol. It lowers blood sugar and may interfere with your diabetes treatment.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Many drugs can interact with pioglitazone. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed here. Tell your doctor about all your current medicines and any medicine you start or stop using."
acyclovir,False,"Sitavig (acyclovir tablet, delayed release) is only for use in treating cold sores on the lips. Sitavig will not treat genital herpes.","Herpes infections are contagious and you can infect other people, even while you are being treated with acyclovir. Avoid letting infected areas come into contact with other people. Avoid touching an infected area and then touching your eyes. Wash your hands frequently to prevent passing the infection to others.",Store at room temperature away from moisture and heat.,"Taking acyclovir will not prevent you from passing genital herpes to your sexual partner. Avoid sexual intercourse while you have active lesions or the first symptoms of an outbreak. Genital herpes may still be contagious through ""viral shedding"" from your skin, even if you have no symptoms.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Other drugs may interact with acyclovir, including prescription and over-the-counter medicines, vitamins, and herbal products. Tell your doctor about all your current medicines and any medicine you start or stop using."
adderall,False,Adderall may also be used for purposes not listed in this medication guide.,"You may not be able to use Adderall if you have glaucoma, overactive thyroid, severe agitation, moderate to severe high blood pressure, heart disease or coronary artery disease, vascular disease, or a history of drug or alcohol addiction.","IR:
Age 6 to 11 Years:
-Initial Dose: 5 mg orally per day in divided doses
-Maintenance Dose: Daily dose may be raised in 5 mg increments at weekly intervals until optimal response is obtained.

Age 12 Years and Older:
-Initial Dose: 10 mg orally per day in divided doses
-Maintenance Dose: Daily dose may be raised in 10 mg increments at weekly intervals until optimal response is obtained.

Comments:
-The first dose should be given on awakening; 1 to 2 additional doses should be given at intervals of 4 to 6 hours.
-The usual dose is 5 to 60 mg per day in divided doses, depending on the individual patient response.
-Dosage should be reduced if bothersome adverse reactions (e.g., insomnia, anorexia) appear.
-Narcolepsy rarely occurs in children under 12 years of age.

Use: Narcolepsy treatment",Avoid drinking fruit juices or taking vitamin C at the same time you take Adderall. These can make your body absorb less of the medicine.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete and many other drugs can interact with Adderall. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Give a list of all your medicines to any healthcare provider who treats you."
adderall-xr,True,Adderall XR may also be used for purposes not listed in this medication guide.,"You may not be able to use this medicine if you have glaucoma, overactive thyroid, severe agitation, moderate to severe high blood pressure, heart disease or coronary artery disease, or a history of drug or alcohol addiction.","Store at room temperature away from moisture, heat, and light. Keep track of your medicine. You should be aware if anyone is using it improperly or without a prescription.",Avoid drinking fruit juices or taking vitamin C at the same time you take Adderall XR. These can make your body absorb less of the medicine.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete and many other drugs may affect Adderall XR. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
advair-diskus,True,Advair Diskus may also be used for purposes not listed in this medication guide.,"Seek medical attention you have worsening breathing problems, or if you think your medications are not working as well.","Once your asthma is under control, your doctor may want you to stop using this medicine. Do not stop using the medicine unless your doctor tells you to.","Do not use a second inhaled bronchodilator unless your doctor tells you to. This includes formoterol (Perforomist, Symbicort, Bevespi, Dulera), arformoterol (Brovana), indacaterol (Arcapta), olodaterol (Striverdi, Stiolto Respimat), salmeterol (Serevent), or vilanterol (Anoro Ellipta, Breo Ellipta, Trelegy Ellipta).",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete and many other drugs may affect Advair Diskus. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
advil,False,Advil is used in adults and children who are at least 2 years old. For children under 2 years check with a doctor.,"Do not take more than your recommended dose. An ibuprofen overdose can damage your stomach or intestines. Use only the smallest amount of medication needed to get relief from your pain, swelling, or fever.",Store at room temperature away from moisture and heat. Do not allow the liquid medicine to freeze.,Avoid drinking alcohol. It may increase your risk of stomach bleeding.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with ibuprofen, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
afinitor,False,This medication guide provides information about the Afinitor brand of everolimus. Zortress is another brand of everolimus used to prevent organ rejection after a kidney transplant.,Do not use everolimus if you are pregnant. It could harm the unborn baby. Use effective birth control while you are using this medicine and for at least 8 weeks after your treatment ends.,"Store at room temperature in the original container, away from moisture, heat, and light. Keep unused dispersible tablets in the foil blister pack.","If you develop mouth sores or ulcers, avoid using mouthwashes or applying medicines that contain alcohol, peroxide, iodine, or thyme. Your doctor may prescribe a steroid mouthwash if your mouth sores are severe.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete and many other drugs may interact with everolimus. This includes prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
aimovig,False,Aimovig may also be used for purposes not listed in this medication guide.,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.","70 mg subcutaneously once a month
-Some patients may benefit from 140 mg subcutaneously once a month

Comments:
-A dose of 140 mg should be administered as 2 consecutive subcutaneous injections of 70 mg each.

Use: For the preventative treatment of migraine.","Avoid injecting this medicine into skin that is red, bruised, tender, or hard.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Other drugs may interact with erenumab, including prescription and over-the-counter medicines, vitamins, and herbal products. Tell your doctor about all your current medicines and any medicine you start or stop using."
ajovy,False,Ajovy may also be used for purposes not listed in this medication guide.,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.","225 mg subcutaneously once a month
-Alternatively, 675 mg subcutaneously may be administered once every 3 months

Comments:
-To administer 675 mg subcutaneously, 3 consecutive subcutaneous injections of 225 mg are given.
-If switching dosage options, administer the first dose of the new regimen on the next scheduled date of administration.

Use: For the preventive treatment of migraine.","Follow your doctor's instructions about any restrictions on food, beverages, or activity.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"Other drugs may interact with fremanezumab-vfrm, including prescription and over-the-counter medicines, vitamins, and herbal products. Tell your doctor about all your current medicines and any medicine you start or stop using."
albuterol,False,Albuterol inhalation is for use in adults and children who are at least 4 years old. Always follow your doctor's directions when giving albuterol to a child.,Only use albuterol as prescribed by your physician. An overdose of albuterol can be fatal. Seek emergency medical attention or call the Poison Help line at 1-800-222-1222. An overdose of albuterol can be fatal. Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.,"Keep the albuterol canister away from open flame or high heat, such as in a car on a hot day. The canister may explode if it gets too hot. Do not puncture or burn an empty inhaler canister.",Rinse with water if this medicine gets in your eyes.,This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with albuterol inhalation, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible interactions are listed in this medication guide."
aldactone,False,Aldactone is also used to diagnose or treat a condition in which you have too much aldosterone in your body. Aldosterone is a hormone produced by your adrenal glands to help regulate the salt and water balance in your body.,Aldactone has caused tumors in animals but it is not known whether this could occur in people. Do not use this medicine for any condition that has not been checked by your doctor.,25 to 100 mg orally per day,"Avoid driving or hazardous activity until you know how this medicine will affect you. Your reactions could be impaired. Avoid getting up too fast from a sitting or lying position, or you may feel dizzy.",This is not a complete list of side effects and others may occur. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088.,"This list is not complete. Other drugs may interact with spironolactone, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here."
